f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.9,9.0,0.2,10.78005611,8.980056114,1.8,1.51,0.0,
0.1,9.0,0.3,712.9521957,-40.04780431,753.0,18192.0,92.0,
0.2,9.0,0.3,178.2380489,-59.96195108,238.2,4711.02,0.0,
0.3,9.0,0.3,79.21691063,11.01691063,68.2,319.71,0.0,
0.4,9.0,0.3,44.55951223,19.35951223,25.2,66.98,0.0,
0.5,9.0,0.3,28.51808783,18.01808783,10.5,17.81,0.0,
0.6,9.0,0.3,19.80422766,13.90422766,5.9,11.6,0.0,
0.7,9.0,0.3,14.55004481,10.69004481,3.86,8.53,0.0,
0.8,9.0,0.3,11.13987806,8.719878058,2.42,1.8,0.0,
0.9,9.0,0.3,8.801878959,7.101878959,1.7,0.79,0.0,
0.1,9.0,0.4,617.4347131,-155.5652869,773.0,,98.0,
0.2,9.0,0.4,154.3586783,-111.5813217,265.94,5932.83,0.0,
0.3,9.0,0.4,68.60385702,-2.396142984,71.0,492.0,0.0,
0.4,9.0,0.4,38.58966957,17.06966957,21.52,64.91,0.0,
0.5,9.0,0.4,24.69738853,14.25738853,10.44,27.48,0.0,
0.6,9.0,0.4,17.15096425,11.31096425,5.84,9.08,0.0,
0.7,9.0,0.4,12.60070843,9.000708432,3.6,5.63,0.0,
0.8,9.0,0.4,9.647417393,7.367417393,2.28,2.16,0.0,
0.9,9.0,0.4,7.62265078,5.82265078,1.8,0.82,0.0,
0.1,9.0,0.5,552.2503961,-257.7496039,810.0,,98.0,
0.2,9.0,0.5,138.062599,-197.677401,335.74,25371.01,0.0,
0.3,9.0,0.5,61.36115512,-4.658844877,66.02,284.31,0.0,
0.4,9.0,0.5,34.51564976,13.89564976,20.62,42.24,0.0,
0.5,9.0,0.5,22.09001584,11.19001584,10.9,34.83,0.0,
0.6,9.0,0.5,15.34028878,10.14028878,5.2,10.81,0.0,
0.7,9.0,0.5,11.27041625,7.690416247,3.58,4.9,0.0,
0.8,9.0,0.5,8.628912439,6.408912439,2.22,1.73,0.0,
0.9,9.0,0.5,6.817906125,5.037906125,1.78,0.79,0.0,
0.1,9.0,0.6,504.1333322,,,,100.0,
0.2,9.0,0.6,126.0333331,-262.0766669,388.11,41309.88,6.0,
0.3,9.0,0.6,56.01481469,-17.26518531,73.28,525.88,0.0,
0.4,9.0,0.6,31.50833326,8.828333264,22.68,74.26,0.0,
0.5,9.0,0.6,20.16533329,10.68533329,9.48,17.97,0.0,
0.6,9.0,0.6,14.00370367,9.123703673,4.88,7.13,0.0,
0.7,9.0,0.6,10.28843535,6.748435352,3.54,4.91,0.0,
0.8,9.0,0.6,7.877083316,5.637083316,2.24,2.88,0.0,
0.9,9.0,0.6,6.223868299,4.363868299,1.86,0.9,0.0,
0.1,9.0,0.7,466.7367719,,,,100.0,
0.2,9.0,0.7,116.684193,-323.335807,440.02,53493.7,12.0,
0.3,9.0,0.7,51.85964133,-10.16035867,62.02,381.49,0.0,
0.4,9.0,0.7,29.17104825,8.851048247,20.32,54.75,0.0,
0.5,9.0,0.7,18.66947088,9.229470878,9.44,21.48,0.0,
0.6,9.0,0.7,12.96491033,8.584910332,4.38,5.42,0.0,
0.7,9.0,0.7,9.525240244,6.285240244,3.24,2.76,0.0,
0.8,9.0,0.7,7.292762062,5.012762062,2.28,0.57,0.0,
0.9,9.0,0.7,5.76218237,4.10218237,1.66,0.56,0.0,
0.1,9.0,0.8,436.5922726,,,,100.0,
0.2,9.0,0.8,109.1480682,-327.4919318,436.64,48974.07,28.0,
0.3,9.0,0.8,48.51025251,-18.90974749,67.42,371.96,0.0,
0.4,9.0,0.8,27.28701704,7.907017038,19.38,39.26,0.0,
0.5,9.0,0.8,17.4636909,9.523690904,7.94,12.63,0.0,
0.6,9.0,0.8,12.12756313,7.247563128,4.88,12.72,0.0,
0.7,9.0,0.8,8.91004638,5.85004638,3.06,3.28,0.0,
0.8,9.0,0.8,6.821754259,4.681754259,2.14,2.37,0.0,
0.9,9.0,0.8,5.390028057,3.770028057,1.62,0.53,0.0,
0.1,9.0,0.9,411.6231421,,,,100.0,
0.2,9.0,0.9,102.9057855,-335.6542145,438.56,56137.06,68.0,
