f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.2,9.0,0.8,109.1480682,-50.67193185,159.82,2261.42,0.0,
0.3,9.0,0.8,48.51025251,9.050252512,39.46,59.27,0.0,
0.4,9.0,0.8,27.28701704,10.10701704,17.18,17.74,0.0,
0.5,9.0,0.8,17.4636909,9.343690904,8.12,4.07,0.0,
0.6,9.0,0.8,12.12756313,6.567563128,5.56,2.82,0.0,
0.7,9.0,0.8,8.91004638,5.07004638,3.84,0.91,0.0,
0.8,9.0,0.8,6.821754259,3.921754259,2.9,0.66,0.0,
0.9,9.0,0.8,5.390028057,3.010028057,2.38,0.28,0.0,
0.1,9.0,0.9,411.6231421,,,,100.0,
0.2,9.0,0.9,102.9057855,-141.1942145,244.1,33623.48,0.0,
