f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.9,5.0,0.5,6.329042177,5.229042177,1.1,0.09,0.0,
0.1,5.0,0.6,467.9854877,22.92548767,445.06,11413.04,0.0,
0.2,5.0,0.6,116.9963719,21.13637192,95.86,540.86,0.0,
0.3,5.0,0.6,51.99838752,19.59838752,32.4,146.37,0.0,
0.4,5.0,0.6,29.24909298,18.30909298,10.94,6.55,0.0,
0.5,5.0,0.6,18.71941951,13.31941951,5.4,6.0,0.0,
0.6,5.0,0.6,12.99959688,10.67959688,2.32,0.96,0.0,
0.7,5.0,0.6,9.550724238,7.690724238,1.86,0.61,0.0,
0.8,5.0,0.6,7.312273245,5.952273245,1.36,0.24,0.0,
0.9,5.0,0.6,5.777598613,4.677598613,1.1,0.09,0.0,
0.1,5.0,0.7,433.2703709,-40.90962912,474.18,10859.21,0.0,
0.2,5.0,0.7,108.3175927,18.55759272,89.76,288.43,0.0,
0.3,5.0,0.7,48.14115232,18.20115232,29.94,75.81,0.0,
0.4,5.0,0.7,27.07939818,15.59939818,11.48,26.01,0.0,
0.5,5.0,0.7,17.33081484,12.41081484,4.92,5.71,0.0,
0.6,5.0,0.7,12.03528808,9.75528808,2.28,0.53,0.0,
0.7,5.0,0.7,8.842252467,6.802252467,2.04,0.69,0.0,
0.8,5.0,0.7,6.769849545,5.269849545,1.5,0.34,0.0,
0.9,5.0,0.7,5.349016924,4.249016924,1.1,0.09,0.0,
0.1,5.0,0.8,405.2873209,-131.1426791,536.43,15709.25,2.0,
0.2,5.0,0.8,101.3218302,12.76183023,88.56,228.54,0.0,
0.3,5.0,0.8,45.03192455,14.87192455,30.16,84.14,0.0,
0.4,5.0,0.8,25.33045756,15.19045756,10.14,9.63,0.0,
0.5,5.0,0.8,16.21149284,11.45149284,4.76,7.98,0.0,
0.6,5.0,0.8,11.25798114,8.817981137,2.44,0.7,0.0,
0.7,5.0,0.8,8.271169815,6.311169815,1.96,0.57,0.0,
0.8,5.0,0.8,6.332614389,4.832614389,1.5,0.34,0.0,
0.9,5.0,0.8,5.003547172,3.923547172,1.08,0.08,0.0,
0.1,5.0,0.9,382.1085506,-168.0314494,550.14,14642.0,2.0,
0.2,5.0,0.9,95.52713765,6.487137651,89.04,331.96,0.0,
0.3,5.0,0.9,42.45650562,14.07650562,28.38,93.79,0.0,
0.4,5.0,0.9,23.88178441,12.78178441,11.1,29.93,0.0,
0.5,5.0,0.9,15.28434202,10.38434202,4.9,4.87,0.0,
0.6,5.0,0.9,10.61412641,8.094126406,2.52,1.19,0.0,
0.7,5.0,0.9,7.798133686,5.718133686,2.08,0.2,0.0,
0.8,5.0,0.9,5.970446103,4.470446103,1.5,0.26,0.0,
0.9,5.0,0.9,4.717389514,3.597389514,1.12,0.11,0.0,
0.1,7.0,0.0,,,,,100.0,
0.2,7.0,0.0,,,,,100.0,
0.3,7.0,0.0,,,,,100.0,
0.4,7.0,0.0,,,,,100.0,
0.5,7.0,0.0,,,,,100.0,
0.6,7.0,0.0,,,2.4565217391304346,1.0091787439613527,8.0,
0.7,7.0,0.0,,,1.6734693877551021,0.4328231292517007,2.0,
0.8,7.0,0.0,,,1.3125,0.261968085106383,4.0,
0.9,7.0,0.0,,,1.04,0.03918367346938775,0.0,
0.1,7.0,0.05,,,,,100.0,
0.2,7.0,0.05,,,561.8913043478261,23265.076811594205,8.0,
0.3,7.0,0.05,,,210.84,12781.116734693878,0.0,
0.4,7.0,0.05,,,71.46,1871.9677551020409,0.0,
0.5,7.0,0.05,,,28.62,496.19959183673467,0.0,
0.6,7.0,0.05,,,3.72,17.02204081632653,0.0,
0.7,7.0,0.05,,,2.0,1.5510204081632653,0.0,
0.8,7.0,0.05,,,1.48,0.5812244897959183,0.0,
0.9,7.0,0.05,,,1.04,0.03918367346938775,0.0,
0.1,7.0,0.1,1184.272984,302.6329837,881.64,10575.32,72.0,
0.2,7.0,0.1,296.0682459,-41.31175407,337.38,16034.93,0.0,
0.3,7.0,0.1,131.5858871,19.78588708,111.8,3521.22,0.0,
0.4,7.0,0.1,74.01706148,35.41706148,38.6,570.57,0.0,
0.5,7.0,0.1,47.37091935,30.53091935,16.84,72.79,0.0,
0.6,7.0,0.1,32.89647177,30.33647177,2.56,1.48,0.0,
0.7,7.0,0.1,24.1688364,21.8888364,2.28,9.02,0.0,
0.8,7.0,0.1,18.50426537,16.98426537,1.52,0.38,0.0,
0.9,7.0,0.1,14.62065412,13.56065412,1.06,0.06,0.0,
0.1,7.0,0.2,837.4074576,135.4074576,702.0,20828.34,4.0,
0.2,7.0,0.2,209.3518644,2.771864393,206.58,4072.66,0.0,
0.3,7.0,0.2,93.04527306,27.74527306,65.3,680.99,0.0,
0.4,7.0,0.2,52.3379661,28.5379661,23.8,103.43,0.0,
0.5,7.0,0.2,33.4962983,24.6562983,8.84,17.32,0.0,
0.6,7.0,0.2,23.26131827,20.78131827,2.48,0.5,0.0,
0.7,7.0,0.2,17.08994811,15.20994811,1.88,1.05,0.0,
0.8,7.0,0.2,13.08449152,11.74449152,1.34,0.23,0.0,
0.9,7.0,0.2,10.33836367,9.278363674,1.06,0.06,0.0,
0.1,7.0,0.3,683.740326,56.24032595,627.5,19689.23,0.0,
0.2,7.0,0.3,170.9350815,21.71508149,149.22,1590.26,0.0,
0.3,7.0,0.3,75.97114733,21.81114733,54.16,487.24,0.0,
0.4,7.0,0.3,42.73377037,22.95377037,19.78,82.3,0.0,
0.5,7.0,0.3,27.34961304,18.92961304,8.42,16.62,0.0,
0.6,7.0,0.3,18.99278683,16.35278683,2.64,3.5,0.0,
0.7,7.0,0.3,13.9538842,12.1738842,1.78,0.58,0.0,
0.8,7.0,0.3,10.68344259,9.343442593,1.34,0.23,0.0,
0.9,7.0,0.3,8.441238592,7.341238592,1.1,0.09,0.0,
0.1,7.0,0.4,592.1364919,7.576491867,584.56,13077.56,0.0,
0.2,7.0,0.4,148.034123,18.85412297,129.18,956.52,0.0,
0.3,7.0,0.4,65.79294354,24.51294354,41.28,176.57,0.0,
0.4,7.0,0.4,37.00853074,21.76853074,15.24,33.82,0.0,
0.5,7.0,0.4,23.68545967,17.14545967,6.54,9.36,0.0,
0.6,7.0,0.4,16.44823589,14.22823589,2.22,0.58,0.0,
0.7,7.0,0.4,12.0844182,10.2644182,1.82,0.31,0.0,
0.8,7.0,0.4,9.252132685,7.772132685,1.48,0.34,0.0,
0.9,7.0,0.4,7.31032706,6.21032706,1.1,0.09,0.0,
0.1,7.0,0.5,529.6229791,-66.41702089,596.04,17964.29,2.0,
0.2,7.0,0.5,132.4057448,8.125744777,124.28,1018.82,0.0,
0.3,7.0,0.5,58.84699768,20.44699768,38.4,191.88,0.0,
0.4,7.0,0.5,33.10143619,19.46143619,13.64,13.83,0.0,
0.5,7.0,0.5,21.18491916,15.84491916,5.34,4.64,0.0,
0.6,7.0,0.5,14.71174942,12.33174942,2.38,0.4,0.0,
0.7,7.0,0.5,10.80863223,9.008632227,1.8,0.45,0.0,
0.8,7.0,0.5,8.275359049,6.875359049,1.4,0.29,0.0,
0.9,7.0,0.5,6.538555298,5.518555298,1.02,0.02,0.0,
0.1,7.0,0.6,483.4774211,-154.9725789,638.45,18542.71,2.0,
0.2,7.0,0.6,120.8693553,6.369355263,114.5,314.87,0.0,
